HECHO,RUPTURA,CONEXO,ESTADO_NOTICIA,ETAPA,ANIO_DENUNCIA,ANIO_ENTRADA,ANIO_HECHO,LEY,PAIS,DEPARTAMENTO,MUNICIPIO,SECCIONAL,GRUPO_DELITO,DELITO,IMPUTACION,CONDENA,ATIPICIDAD_INEXISTENCIA,ACUSACION,CAPTURA,SEXO_VICTIMA,GRUPO_EDAD_VICTIMA,PAIS_NACIMIENTO,HOMICIDIO_DOLOSO_CONSUMADO,TOTAL_VICTIMAS
SI,NO,NO,INACTIVO,EJECUCIÓN DE PENAS,2020,2020,2020,Ley 906,Colombia,Atlántico,BARRANQUILLA,DIRECCIÓN SECCIONAL DE ATLÁNTICO,FEMINICIDIO,FEMINICIDIO ART. 104A C.P.,SI,SI,NO,SI,SI,FEMENINO,JUVENTUD 18 - 28,Colombia,SI,1
SI,NO,NO,ACTIVO,JUICIO,2020,2020,2020,Ley 906,Colombia,Bolívar,CARTAGENA,DIRECCIÓN SECCIONAL DE BOLÍVAR,FEMINICIDIO,FEMINICIDIO ART. 104A C.P.,SI,NO,NO,SI,SI,FEMENINO,JUVENTUD 18 - 28,Colombia,NO,1
SI,NO,NO,ACTIVO,INDAGACIÓN,2020,2020,2020,Ley 906,Colombia,Norte de Santander,VILLA DEL ROSARIO,DIRECCIÓN SECCIONAL DE NORTE DE SANTANDER,FEMINICIDIO,FEMINICIDIO ART. 104A C.P.,NO,NO,NO,NO,NO,FEMENINO,SIN DATO,,NO,1
SI,NO,NO,INACTIVO,EJECUCIÓN DE PENAS,2020,2020,2020,Ley 906,Colombia,Caquetá,FLORENCIA,DIRECCIÓN SECCIONAL DE CAQUETÁ,FEMINICIDIO,FEMINICIDIO ART. 104A C.P.,SI,SI,NO,SI,SI,FEMENINO,JUVENTUD 18 - 28,Colombia,SI,1
SI,NO,NO,INACTIVO,INDAGACIÓN,2019,2019,2019,Ley 906,Colombia,Norte de Santander,CÚCUTA,DIRECCIÓN SECCIONAL DE NORTE DE SANTANDER,FEMINICIDIO,FEMINICIDIO ART. 104A C.P.,NO,NO,NO,NO,NO,FEMENINO,SIN DATO,Venezuela,NO,1
SI,NO,NO,INACTIVO,INDAGACIÓN,2020,2020,2020,Ley 906,Colombia,Putumayo,MOCOA,DIRECCIÓN SECCIONAL DE PUTUMAYO,FEMINICIDIO,FEMINICIDIO ART. 104A C.P.,NO,NO,NO,NO,NO,FEMENINO,JUVENTUD 18 - 28,Colombia,SI,1
SI,NO,NO,INACTIVO,INDAGACIÓN,2016,2016,2016,Ley 906,Colombia,Atlántico,BARRANQUILLA,DIRECCIÓN SECCIONAL DE ATLÁNTICO,FEMINICIDIO,FEMINICIDIO ART. 104A C.P.,NO,NO,NO,NO,NO,MASCULINO,SIN DATO,Colombia,SI,1
SI,NO,NO,INACTIVO,EJECUCIÓN DE PENAS,2020,2020,2020,Ley 906,Colombia,Santander,GIRÓN,DIRECCIÓN SECCIONAL DE SANTANDER,FEMINICIDIO,FEMINICIDIO ART. 104A C.P.,SI,SI,NO,SI,SI,FEMENINO,ADULTEZ 29 - 59,Colombia,NO,1
SI,NO,NO,ACTIVO,JUICIO,2019,2019,2019,Ley 906,Colombia,"BOGOTÁ, D. C.","BOGOTÁ, D.C.",DIRECCIÓN SECCIONAL DE BOGOTÁ,FEMINICIDIO,FEMINICIDIO ART. 104A C.P.,SI,NO,NO,SI,NO,FEMENINO,ADULTEZ 29 - 59,,NO,1
SI,NO,NO,INACTIVO,EJECUCIÓN DE PENAS,2019,2019,2019,Ley 906,Colombia,Risaralda,PEREIRA,DIRECCIÓN SECCIONAL DE RISARALDA,FEMINICIDIO,FEMINICIDIO ART. 104A C.P.,SI,SI,NO,SI,SI,FEMENINO,JUVENTUD 18 - 28,Colombia,SI,1
SI,NO,NO,INACTIVO,EJECUCIÓN DE PENAS,2019,2019,2019,Ley 906,Colombia,Magdalena,FUNDACIÓN,DIRECCIÓN SECCIONAL DE MAGDALENA,FEMINICIDIO,FEMINICIDIO ART. 104A C.P.,SI,SI,NO,SI,SI,FEMENINO,SIN DATO,,SI,1
SI,NO,NO,INACTIVO,EJECUCIÓN DE PENAS,2019,2019,2019,Ley 906,Colombia,Cundinamarca,CHÍA,DIRECCIÓN SECCIONAL DE CUNDINAMARCA,FEMINICIDIO,FEMINICIDIO ART. 104A C.P.,SI,SI,NO,SI,NO,FEMENINO,ADULTO MAYOR DE 60,,SI,1
SI,NO,NO,INACTIVO,EJECUCIÓN DE PENAS,2017,2017,2017,Ley 906,Colombia,Valle del Cauca,BUENAVENTURA,DIRECCIÓN SECCIONAL DE VALLE DEL CAUCA,FEMINICIDIO,FEMINICIDIO ART. 104A C.P.,SI,SI,NO,SI,SI,FEMENINO,ADULTEZ 29 - 59,Colombia,SI,1
SI,NO,NO,ACTIVO,INDAGACIÓN,2020,2020,2020,Ley 906,Colombia,"BOGOTÁ, D. C.","BOGOTÁ, D.C.",DIRECCIÓN SECCIONAL DE BOGOTÁ,FEMINICIDIO,FEMINICIDIO ART. 104A C.P.,NO,NO,NO,NO,NO,FEMENINO,JUVENTUD 18 - 28,Colombia,NO,12
SI,NO,NO,ACTIVO,INDAGACIÓN,2018,2018,2018,Ley 906,Colombia,Cauca,ALMAGUER,DIRECCIÓN SECCIONAL DE CAUCA,FEMINICIDIO,FEMINICIDIO ART. 104A C.P.,NO,NO,NO,NO,NO,FEMENINO,JUVENTUD 18 - 28,Colombia,NO,1
SI,NO,NO,INACTIVO,EJECUCIÓN DE PENAS,2019,2019,2019,Ley 906,Colombia,Tolima,IBAGUÉ,DIRECCIÓN SECCIONAL DE TOLIMA,FEMINICIDIO,FEMINICIDIO ART. 104A C.P.,SI,SI,NO,NO,SI,FEMENINO,ADULTO MAYOR DE 60,,SI,1
SI,NO,NO,ACTIVO,JUICIO,2019,2019,2019,Ley 906,Colombia,Nariño,POLICARPA,DIRECCIÓN SECCIONAL DE NARIÑO,FEMINICIDIO,FEMINICIDIO ART. 104A C.P.,SI,NO,NO,NO,NO,FEMENINO,ADULTEZ 29 - 59,Venezuela,SI,1
SI,NO,NO,ACTIVO,EJECUCIÓN DE PENAS,2015,2015,2015,Ley 906,Colombia,Cundinamarca,ANAPOIMA,,FEMINICIDIO,FEMINICIDIO ART. 104A C.P.,SI,SI,NO,NO,NO,MASCULINO,SIN DATO,Colombia,NO,1
SI,NO,NO,ACTIVO,INDAGACIÓN,2019,2019,2019,Ley 906,Colombia,"BOGOTÁ, D. C.","BOGOTÁ, D.C.",DIRECCIÓN SECCIONAL DE BOGOTÁ,FEMINICIDIO,FEMINICIDIO ART. 104A C.P.,NO,NO,NO,NO,NO,FEMENINO,ADULTEZ 29 - 59,,SI,2
SI,NO,NO,INACTIVO,EJECUCIÓN DE PENAS,2017,2017,2017,Ley 906,Colombia,Caldas,CHINCHINÁ,DIRECCIÓN SECCIONAL DE CALDAS,FEMINICIDIO,FEMINICIDIO ART. 104A C.P.,SI,SI,NO,SI,NO,FEMENINO,JUVENTUD 18 - 28,Colombia,SI,1
SI,NO,SI,INACTIVO,INDAGACIÓN,2019,2019,2018,Ley 906,Colombia,Valle del Cauca,YUMBO,DIRECCIÓN SECCIONAL DE CALI,FEMINICIDIO,FEMINICIDIO ART. 104A C.P.,NO,NO,NO,NO,NO,FEMENINO,ADULTEZ 29 - 59,Colombia,NO,1
SI,NO,NO,INACTIVO,EJECUCIÓN DE PENAS,2018,2018,2018,Ley 906,Colombia,Valle del Cauca,CALI,DIRECCIÓN SECCIONAL DE CALI,FEMINICIDIO,FEMINICIDIO ART. 104A C.P.,SI,SI,NO,SI,SI,FEMENINO,SIN DATO,Colombia,NO,3
SI,NO,NO,ACTIVO,INDAGACIÓN,2019,2019,2019,Ley 906,Colombia,"BOGOTÁ, D. C.","BOGOTÁ, D.C.",DIRECCIÓN SECCIONAL DE BOGOTÁ,FEMINICIDIO,FEMINICIDIO ART. 104A C.P.,NO,NO,NO,NO,NO,FEMENINO,ADULTEZ 29 - 59,Colombia,NO,5
SI,NO,NO,ACTIVO,JUICIO,2020,2020,2020,Ley 906,Colombia,"BOGOTÁ, D. C.","BOGOTÁ, D.C.",DIRECCIÓN SECCIONAL DE BOGOTÁ,FEMINICIDIO,FEMINICIDIO ART. 104A C.P.,SI,NO,NO,NO,NO,FEMENINO,ADULTEZ 29 - 59,Colombia,NO,1
SI,NO,NO,ACTIVO,JUICIO,2020,2020,2020,Ley 906,Colombia,Tolima,FLANDES,DIRECCIÓN SECCIONAL DE CUNDINAMARCA,FEMINICIDIO,FEMINICIDIO ART. 104A C.P.,SI,NO,NO,SI,SI,FEMENINO,ADULTEZ 29 - 59,Colombia,NO,1
SI,NO,NO,INACTIVO,JUICIO,2020,2020,2020,Ley 906,Colombia,Santander,SUCRE,DIRECCIÓN SECCIONAL DE SANTANDER,FEMINICIDIO,FEMINICIDIO ART. 104A C.P.,SI,SI,NO,SI,SI,FEMENINO,ADULTEZ 29 - 59,Colombia,SI,1
SI,NO,NO,INACTIVO,INDAGACIÓN,2020,2020,2020,Ley 906,Colombia,"BOGOTÁ, D. C.","BOGOTÁ, D.C.",DIRECCIÓN SECCIONAL DE BOGOTÁ,FEMINICIDIO,FEMINICIDIO ART. 104A C.P.,NO,NO,NO,NO,NO,FEMENINO,JUVENTUD 18 - 28,Venezuela,NO,1
SI,NO,NO,ACTIVO,JUICIO,2020,2020,2020,Ley 906,Colombia,Risaralda,LA VIRGINIA,DIRECCIÓN SECCIONAL DE RISARALDA,FEMINICIDIO,FEMINICIDIO ART. 104A C.P.,SI,SI,NO,SI,SI,FEMENINO,ADULTEZ 29 - 59,Colombia,NO,1
SI,NO,NO,ACTIVO,INDAGACIÓN,2020,2020,2020,Ley 906,Colombia,Cundinamarca,ZIPAQUIRÁ,DIRECCIÓN SECCIONAL DE CUNDINAMARCA,FEMINICIDIO,FEMINICIDIO ART. 104A C.P.,NO,NO,NO,NO,NO,FEMENINO,ADULTEZ 29 - 59,Colombia,NO,1
SI,NO,NO,INACTIVO,EJECUCIÓN DE PENAS,2017,2017,2017,Ley 906,Colombia,Valle del Cauca,TULUÁ,DIRECCIÓN SECCIONAL DE VALLE DEL CAUCA,FEMINICIDIO,FEMINICIDIO ART. 104A C.P.,SI,SI,NO,SI,SI,FEMENINO,SIN DATO,Colombia,SI,1
SI,NO,NO,ACTIVO,JUICIO,2018,2018,2018,Ley 906,Colombia,Nariño,POTOSÍ,DIRECCIÓN SECCIONAL DE NARIÑO,FEMINICIDIO,FEMINICIDIO ART. 104A C.P.,SI,NO,NO,SI,NO,FEMENINO,JUVENTUD 18 - 28,Colombia,NO,1
SI,NO,NO,INACTIVO,JUICIO,2018,2018,2018,Ley 906,Colombia,Santander,PUERTO WILCHES,DIRECCIÓN SECCIONAL DE MAGDALENA MEDIO,FEMINICIDIO,FEMINICIDIO ART. 104A C.P.,SI,NO,NO,SI,SI,FEMENINO,ADULTEZ 29 - 59,Colombia,NO,1
SI,NO,NO,INACTIVO,EJECUCIÓN DE PENAS,2019,2019,2019,Ley 906,Colombia,Magdalena,SANTA ANA,DIRECCIÓN SECCIONAL DE MAGDALENA,FEMINICIDIO,FEMINICIDIO ART. 104A C.P.,SI,SI,NO,NO,NO,FEMENINO,ADULTEZ 29 - 59,Colombia,SI,1
SI,NO,NO,ACTIVO,INDAGACIÓN,2020,2020,2020,Ley 906,Colombia,Córdoba,MONTELÍBANO,DIRECCIÓN SECCIONAL DE CÓRDOBA,FEMINICIDIO,FEMINICIDIO ART. 104A C.P.,NO,NO,NO,NO,NO,FEMENINO,ADULTEZ 29 - 59,Colombia,SI,1
SI,NO,NO,INACTIVO,EJECUCIÓN DE PENAS,2018,2018,2018,Ley 906,Colombia,"BOGOTÁ, D. C.","BOGOTÁ, D.C.",DIRECCIÓN SECCIONAL DE BOGOTÁ,FEMINICIDIO,FEMINICIDIO ART. 104A C.P.,SI,SI,NO,SI,SI,MASCULINO,ADOLESCENTE 14 - 17,Colombia,NO,1
SI,NO,NO,INACTIVO,EJECUCIÓN DE PENAS,2015,2015,2015,Ley 906,Colombia,Antioquia,RETIRO,DIRECCIÓN SECCIONAL DE ANTIOQUIA,FEMINICIDIO,FEMINICIDIO ART. 104A C.P.,SI,SI,NO,SI,SI,FEMENINO,JUVENTUD 18 - 28,Colombia,NO,1
SI,NO,NO,INACTIVO,INDAGACIÓN,2019,2019,2019,Ley 906,Colombia,Valle del Cauca,CALI,DIRECCIÓN SECCIONAL DE CALI,FEMINICIDIO,FEMINICIDIO ART. 104A C.P.,NO,NO,NO,NO,NO,FEMENINO,JUVENTUD 18 - 28,Colombia,SI,1
SI,NO,NO,ACTIVO,INDAGACIÓN,2018,2018,2018,Ley 906,Colombia,Meta,VILLAVICENCIO,DIRECCIÓN SECCIONAL DE META,FEMINICIDIO,FEMINICIDIO ART. 104A C.P.,NO,NO,NO,NO,NO,FEMENINO,JUVENTUD 18 - 28,Colombia,NO,1
SI,NO,NO,INACTIVO,EJECUCIÓN DE PENAS,2017,2017,2017,Ley 906,Colombia,Caldas,PENSILVANIA,DIRECCIÓN SECCIONAL DE CALDAS,FEMINICIDIO,FEMINICIDIO ART. 104A C.P.,SI,SI,NO,SI,SI,FEMENINO,SIN DATO,Colombia,SI,1
SI,NO,NO,INACTIVO,EJECUCIÓN DE PENAS,2019,2019,2019,Ley 906,Colombia,Norte de Santander,CÚCUTA,DIRECCIÓN SECCIONAL DE NORTE DE SANTANDER,FEMINICIDIO,FEMINICIDIO ART. 104A C.P.,SI,SI,NO,SI,SI,MASCULINO,ADULTEZ 29 - 59,Colombia,NO,1
SI,NO,NO,INACTIVO,EJECUCIÓN DE PENAS,2016,2016,2016,Ley 906,Colombia,Arauca,TAME,DIRECCIÓN SECCIONAL DE ARAUCA,FEMINICIDIO,FEMINICIDIO ART. 104A C.P.,SI,SI,NO,SI,SI,FEMENINO,SIN DATO,Colombia,SI,1
SI,NO,NO,INACTIVO,EJECUCIÓN DE PENAS,2017,2017,2017,Ley 906,Colombia,Putumayo,COLÓN,DIRECCIÓN SECCIONAL DE PUTUMAYO,FEMINICIDIO,FEMINICIDIO ART. 104A C.P.,SI,SI,NO,SI,SI,FEMENINO,ADULTEZ 29 - 59,Colombia,NO,1
NO,NO,NO,INACTIVO,INDAGACIÓN,2015,2015,2015,Ley 906,Colombia,"BOGOTÁ, D. C.","BOGOTÁ, D.C.",DIRECCIÓN SECCIONAL DE BOGOTÁ,FEMINICIDIO,FEMINICIDIO ART. 104A C.P.,NO,NO,SI,NO,NO,FEMENINO,SIN DATO,Colombia,NO,1
NO,NO,NO,INACTIVO,INDAGACIÓN,2017,2017,2017,Ley 906,Colombia,Antioquia,LA ESTRELLA,DIRECCIÓN SECCIONAL DE MEDELLÍN,FEMINICIDIO,FEMINICIDIO ART. 104A C.P.,NO,NO,SI,NO,NO,FEMENINO,PRIMERA INFANCIA 0 - 5,Colombia,NO,1
SI,NO,NO,ACTIVO,JUICIO,2018,2018,2018,Ley 906,Colombia,Antioquia,PUERTO BERRÍO,DIRECCIÓN SECCIONAL DE MAGDALENA MEDIO,FEMINICIDIO,FEMINICIDIO ART. 104A C.P.,SI,NO,NO,SI,SI,FEMENINO,JUVENTUD 18 - 28,Colombia,NO,1
SI,NO,NO,ACTIVO,INDAGACIÓN,2020,2020,2020,Ley 906,Colombia,Chocó,QUIBDO,DIRECCIÓN SECCIONAL DE CHOCÓ,FEMINICIDIO,FEMINICIDIO ART. 104A C.P.,NO,NO,NO,NO,NO,FEMENINO,JUVENTUD 18 - 28,Colombia,NO,1
SI,NO,NO,ACTIVO,JUICIO,2019,2019,2019,Ley 906,Colombia,"BOGOTÁ, D. C.","BOGOTÁ, D.C.",DIRECCIÓN SECCIONAL DE BOGOTÁ,FEMINICIDIO,FEMINICIDIO ART. 104A C.P.,SI,SI,NO,SI,SI,MASCULINO,SIN DATO,Colombia,NO,1
SI,NO,NO,ACTIVO,INDAGACIÓN,2019,2019,2019,Ley 906,Colombia,Tolima,IBAGUÉ,DIRECCIÓN SECCIONAL DE TOLIMA,FEMINICIDIO,FEMINICIDIO ART. 104A C.P.,NO,NO,NO,NO,NO,FEMENINO,ADOLESCENTE 14 - 17,Colombia,NO,2
SI,NO,NO,ACTIVO,INDAGACIÓN,2019,2019,2019,Ley 906,Colombia,Guaviare,SAN JOSÉ DEL GUAVIARE,DIRECCIÓN SECCIONAL DE GUAVIARE,FEMINICIDIO,FEMINICIDIO ART. 104A C.P.,NO,NO,NO,NO,NO,FEMENINO,ADULTEZ 29 - 59,Colombia,NO,1
SI,NO,NO,INACTIVO,EJECUCIÓN DE PENAS,2020,2020,2020,Ley 906,Colombia,"BOGOTÁ, D. C.","BOGOTÁ, D.C.",DIRECCIÓN SECCIONAL DE BOGOTÁ,FEMINICIDIO,FEMINICIDIO ART. 104A C.P.,SI,SI,NO,SI,SI,FEMENINO,ADULTEZ 29 - 59,Colombia,SI,1
SI,NO,NO,INACTIVO,EJECUCIÓN DE PENAS,2017,2017,2017,Ley 906,Colombia,Caquetá,CARTAGENA DEL CHAIRÁ,DIRECCIÓN SECCIONAL DE CAQUETÁ,FEMINICIDIO,FEMINICIDIO ART. 104A C.P.,SI,SI,NO,SI,SI,FEMENINO,ADULTEZ 29 - 59,Colombia,SI,1
SI,NO,NO,INACTIVO,JUICIO,2020,2020,2020,Ley 906,Colombia,Boyaca,OTANCHE,DIRECCIÓN SECCIONAL DE BOYACÁ,FEMINICIDIO,FEMINICIDIO ART. 104A C.P.,SI,NO,NO,SI,SI,FEMENINO,JUVENTUD 18 - 28,Colombia,NO,1
SI,NO,NO,INACTIVO,INDAGACIÓN,2016,2016,2016,Ley 906,Colombia,Tolima,FRESNO,DIRECCIÓN SECCIONAL DE TOLIMA,FEMINICIDIO,FEMINICIDIO ART. 104A C.P.,NO,NO,NO,NO,NO,FEMENINO,JUVENTUD 18 - 28,Colombia,NO,1
SI,NO,NO,ACTIVO,INDAGACIÓN,2020,2020,2020,Ley 906,Colombia,"BOGOTÁ, D. C.","BOGOTÁ, D.C.",DIRECCIÓN SECCIONAL DE BOGOTÁ,FEMINICIDIO,FEMINICIDIO ART. 104A C.P.,SI,NO,NO,NO,SI,FEMENINO,ADULTEZ 29 - 59,Colombia,NO,1
SI,NO,NO,ACTIVO,TERMINACIÓN ANTICIPADA,2020,2020,2020,Ley 906,Colombia,Cundinamarca,SUESCA,DIRECCIÓN SECCIONAL DE CUNDINAMARCA,FEMINICIDIO,FEMINICIDIO ART. 104A C.P.,SI,SI,NO,SI,NO,FEMENINO,JUVENTUD 18 - 28,Colombia,NO,1
SI,NO,NO,INACTIVO,EJECUCIÓN DE PENAS,2019,2019,2019,Ley 1098,Colombia,Atlántico,BARRANQUILLA,DIRECCIÓN SECCIONAL DE ATLÁNTICO,FEMINICIDIO,FEMINICIDIO ART. 104A C.P.,SI,NO,NO,NO,SI,FEMENINO,INFANCIA 6 - 11,Colombia,SI,1
SI,NO,NO,INACTIVO,INDAGACIÓN,2017,2017,2017,Ley 906,Colombia,Risaralda,SANTUARIO,DIRECCIÓN SECCIONAL DE RISARALDA,FEMINICIDIO,FEMINICIDIO ART. 104A C.P.,NO,NO,NO,NO,NO,FEMENINO,JUVENTUD 18 - 28,Colombia,SI,1
SI,NO,NO,ACTIVO,JUICIO,2020,2020,2020,Ley 906,Colombia,Atlántico,BARRANQUILLA,DIRECCIÓN SECCIONAL DE ATLÁNTICO,FEMINICIDIO,FEMINICIDIO ART. 104A C.P.,SI,NO,NO,SI,SI,FEMENINO,JUVENTUD 18 - 28,Venezuela,SI,1
SI,NO,NO,ACTIVO,INDAGACIÓN,2016,2016,2016,Ley 906,Colombia,Valle del Cauca,CALI,DIRECCIÓN SECCIONAL DE CALI,FEMINICIDIO,FEMINICIDIO ART. 104A C.P.,NO,NO,NO,NO,NO,FEMENINO,SIN DATO,Colombia,SI,1
SI,NO,NO,INACTIVO,EJECUCIÓN DE PENAS,2017,2017,2017,Ley 906,Colombia,Boyaca,MONIQUIRÁ,DIRECCIÓN SECCIONAL DE BOYACÁ,FEMINICIDIO,FEMINICIDIO ART. 104A C.P.,SI,SI,NO,NO,SI,FEMENINO,JUVENTUD 18 - 28,Colombia,NO,1
SI,NO,NO,INACTIVO,EJECUCIÓN DE PENAS,2019,2019,2019,Ley 906,Colombia,Casanare,MANÍ,DIRECCIÓN SECCIONAL DE CASANARE,FEMINICIDIO,FEMINICIDIO ART. 104A C.P.,SI,SI,NO,NO,SI,FEMENINO,ADULTEZ 29 - 59,Venezuela,SI,1
SI,NO,NO,INACTIVO,EJECUCIÓN DE PENAS,2016,2016,2016,Ley 906,Colombia,Norte de Santander,LOS PATIOS,DIRECCIÓN SECCIONAL DE NORTE DE SANTANDER,FEMINICIDIO,FEMINICIDIO ART. 104A C.P.,SI,SI,NO,SI,SI,FEMENINO,JUVENTUD 18 - 28,Colombia,NO,1
SI,NO,NO,ACTIVO,JUICIO,2020,2020,2020,Ley 906,Colombia,"BOGOTÁ, D. C.","BOGOTÁ, D.C.",DIRECCIÓN SECCIONAL DE BOGOTÁ,FEMINICIDIO,FEMINICIDIO ART. 104A C.P.,SI,NO,NO,SI,NO,FEMENINO,ADULTEZ 29 - 59,Colombia,NO,1
SI,NO,NO,ACTIVO,JUICIO,2019,2019,2019,Ley 906,Colombia,Atlántico,SOLEDAD,DIRECCIÓN SECCIONAL DE ATLÁNTICO,FEMINICIDIO,FEMINICIDIO ART. 104A C.P.,SI,NO,NO,SI,SI,FEMENINO,ADULTEZ 29 - 59,Venezuela,SI,1
SI,NO,NO,INACTIVO,EJECUCIÓN DE PENAS,2016,2016,2016,Ley 906,Colombia,Cundinamarca,FUSAGASUGÁ,DIRECCIÓN SECCIONAL DE CUNDINAMARCA,FEMINICIDIO,FEMINICIDIO ART. 104A C.P.,SI,SI,NO,NO,SI,FEMENINO,JUVENTUD 18 - 28,Colombia,SI,1
SI,NO,NO,ACTIVO,JUICIO,2016,2016,2016,Ley 906,Colombia,Valle del Cauca,CALI,DIRECCIÓN SECCIONAL DE CALI,FEMINICIDIO,FEMINICIDIO ART. 104A C.P.,SI,NO,NO,SI,SI,FEMENINO,SIN DATO,Colombia,SI,1
SI,NO,NO,INACTIVO,EJECUCIÓN DE PENAS,2016,2016,2016,Ley 906,Colombia,Valle del Cauca,CALI,DIRECCIÓN SECCIONAL DE CALI,FEMINICIDIO,FEMINICIDIO ART. 104A C.P.,SI,SI,NO,SI,SI,FEMENINO,ADULTEZ 29 - 59,Colombia,SI,1
SI,NO,NO,INACTIVO,EJECUCIÓN DE PENAS,2019,2019,2019,Ley 906,Colombia,Valle del Cauca,CALI,DIRECCIÓN SECCIONAL DE CALI,FEMINICIDIO,FEMINICIDIO ART. 104A C.P.,SI,SI,NO,NO,SI,FEMENINO,ADULTEZ 29 - 59,Colombia,NO,1
SI,NO,NO,INACTIVO,EJECUCIÓN DE PENAS,2017,2017,2017,Ley 906,Colombia,Atlántico,MALAMBO,DIRECCIÓN SECCIONAL DE ATLÁNTICO,FEMINICIDIO,FEMINICIDIO ART. 104A C.P.,SI,SI,NO,SI,SI,FEMENINO,JUVENTUD 18 - 28,Colombia,SI,1
SI,NO,NO,ACTIVO,JUICIO,2019,2019,2019,Ley 906,Colombia,"BOGOTÁ, D. C.","BOGOTÁ, D.C.",DIRECCIÓN SECCIONAL DE BOGOTÁ,FEMINICIDIO,FEMINICIDIO ART. 104A C.P.,SI,NO,NO,SI,NO,FEMENINO,ADOLESCENTE 14 - 17,,NO,1
SI,NO,NO,ACTIVO,JUICIO,2017,2017,2017,Ley 906,Colombia,Atlántico,SOLEDAD,DIRECCIÓN SECCIONAL DE ATLÁNTICO,FEMINICIDIO,FEMINICIDIO ART. 104A C.P.,SI,NO,NO,SI,NO,FEMENINO,SIN DATO,Colombia,NO,2
SI,NO,NO,ACTIVO,INVESTIGACIÓN,2016,2016,2016,Ley 906,Colombia,Risaralda,PEREIRA,DIRECCIÓN SECCIONAL DE RISARALDA,FEMINICIDIO,FEMINICIDIO ART. 104A C.P.,SI,NO,NO,NO,SI,FEMENINO,ADULTEZ 29 - 59,Colombia,NO,1
SI,NO,NO,INACTIVO,INDAGACIÓN,2020,2020,2020,Ley 906,Colombia,Tolima,HONDA,DIRECCIÓN SECCIONAL DE TOLIMA,FEMINICIDIO,FEMINICIDIO ART. 104A C.P.,NO,NO,NO,NO,NO,FEMENINO,JUVENTUD 18 - 28,Colombia,NO,1
SI,NO,NO,ACTIVO,INVESTIGACIÓN,2020,2020,2020,Ley 906,Colombia,Tolima,IBAGUÉ,DIRECCIÓN SECCIONAL DE TOLIMA,FEMINICIDIO,FEMINICIDIO ART. 104A C.P.,SI,NO,NO,NO,NO,FEMENINO,JUVENTUD 18 - 28,Colombia,NO,1
SI,NO,NO,ACTIVO,JUICIO,2019,2019,2018,Ley 906,Colombia,Tolima,IBAGUÉ,DIRECCIÓN SECCIONAL DE TOLIMA,FEMINICIDIO,FEMINICIDIO ART. 104A C.P.,SI,NO,NO,SI,NO,FEMENINO,ADULTEZ 29 - 59,Colombia,NO,1
SI,NO,NO,ACTIVO,INDAGACIÓN,2018,2018,2018,Ley 906,Colombia,Valle del Cauca,BUENAVENTURA,DIRECCIÓN SECCIONAL DE VALLE DEL CAUCA,FEMINICIDIO,FEMINICIDIO ART. 104A C.P.,NO,NO,NO,NO,NO,FEMENINO,JUVENTUD 18 - 28,Colombia,NO,1
SI,NO,NO,INACTIVO,INDAGACIÓN,2019,2019,2019,Ley 906,Colombia,Guaviare,SAN JOSÉ DEL GUAVIARE,DIRECCIÓN SECCIONAL DE GUAVIARE,FEMINICIDIO,FEMINICIDIO ART. 104A C.P.,NO,NO,NO,NO,NO,FEMENINO,JUVENTUD 18 - 28,Colombia,SI,1
SI,NO,NO,INACTIVO,INDAGACIÓN,2018,2018,2018,Ley 906,Colombia,Cesar,AGUACHICA,DIRECCIÓN SECCIONAL DE MAGDALENA MEDIO,FEMINICIDIO,FEMINICIDIO ART. 104A C.P.,NO,NO,NO,NO,NO,FEMENINO,ADULTEZ 29 - 59,Colombia,SI,1
SI,NO,NO,ACTIVO,INDAGACIÓN,2018,2018,2017,Ley 906,Colombia,Santander,PUENTE NACIONAL,DIRECCIÓN SECCIONAL DE SANTANDER,FEMINICIDIO,FEMINICIDIO ART. 104A C.P.,NO,NO,NO,NO,NO,FEMENINO,SIN DATO,Colombia,NO,1
SI,NO,NO,ACTIVO,INDAGACIÓN,2020,2020,2020,Ley 906,Colombia,Tolima,IBAGUÉ,DIRECCIÓN SECCIONAL DE TOLIMA,FEMINICIDIO,FEMINICIDIO ART. 104A C.P.,NO,NO,NO,NO,NO,FEMENINO,JUVENTUD 18 - 28,Colombia,NO,1
SI,NO,NO,INACTIVO,EJECUCIÓN DE PENAS,2017,2017,2017,Ley 906,Colombia,Huila,GARZÓN,DIRECCIÓN SECCIONAL DE HUILA,FEMINICIDIO,FEMINICIDIO ART. 104A C.P.,SI,SI,NO,SI,NO,MASCULINO,ADULTEZ 29 - 59,Colombia,SI,1
SI,NO,NO,INACTIVO,JUICIO,2018,2018,2018,Ley 906,Colombia,Valle del Cauca,CALI,DIRECCIÓN SECCIONAL DE CALI,FEMINICIDIO,FEMINICIDIO ART. 104A C.P.,SI,NO,NO,SI,SI,FEMENINO,JUVENTUD 18 - 28,Colombia,SI,1
SI,NO,NO,INACTIVO,EJECUCIÓN DE PENAS,2015,2015,2015,Ley 906,Colombia,Huila,SAN AGUSTÍN,DIRECCIÓN SECCIONAL DE HUILA,FEMINICIDIO,FEMINICIDIO ART. 104A C.P.,SI,SI,NO,SI,SI,FEMENINO,JUVENTUD 18 - 28,Colombia,SI,1
